index,strategy,exit,entry_date,expiry,split,pnl_inr,mc_ev,regime
NIFTY,Adaptive,15:00,2021-12-13,2021-12-16,development,30802.500000000004,27.735911436844535,high
NIFTY,Adaptive,15:10,2021-12-13,2021-12-16,development,31957.5,27.735911436844535,high
NIFTY,Batman,expiry_settlement,2021-12-20,2021-12-23,development,1260.0000000001096,1.2934694549816814,high
NIFTY,Batman,15:00,2021-12-20,2021-12-23,development,3352.499999999999,1.2934694549816814,high
NIFTY,Batman,15:10,2021-12-20,2021-12-23,development,4901.249999999997,1.2934694549816814,high
NIFTY,Adaptive,expiry_settlement,2021-12-20,2021-12-23,development,10121.25,30.348807440580178,high
NIFTY,Adaptive,15:00,2021-12-20,2021-12-23,development,9982.5,30.348807440580178,high
NIFTY,Adaptive,15:10,2021-12-20,2021-12-23,development,9978.749999999998,30.348807440580178,high
NIFTY,Adaptive,expiry_settlement,2021-12-27,2021-12-30,development,19275.000000000055,32.67688171469524,high
NIFTY,Adaptive,15:00,2021-12-27,2021-12-30,development,-19207.5,32.67688171469524,high
NIFTY,Adaptive,15:10,2021-12-27,2021-12-30,development,-18870.0,32.67688171469524,high
NIFTY,Adaptive,expiry_settlement,2022-01-03,2022-01-06,development,-1634.99999999989,97.34589593103986,medium
NIFTY,Adaptive,15:00,2022-01-03,2022-01-06,development,-47444.99999999999,97.34589593103986,medium
NIFTY,Adaptive,15:10,2022-01-03,2022-01-06,development,-46942.5,97.34589593103986,medium
NIFTY,Adaptive,expiry_settlement,2022-01-10,2022-01-13,development,-2306.250000000051,39.40775488866874,medium
NIFTY,Adaptive,15:00,2022-01-10,2022-01-13,development,-53729.99999999999,39.40775488866874,medium
NIFTY,Adaptive,15:10,2022-01-10,2022-01-13,development,-56137.5,39.40775488866874,medium
NIFTY,Adaptive,expiry_settlement,2022-01-17,2022-01-20,development,48296.25,72.65318026014475,medium
NIFTY,Adaptive,15:00,2022-01-17,2022-01-20,development,-105708.75,72.65318026014475,medium
NIFTY,Adaptive,15:10,2022-01-17,2022-01-20,development,-101186.25,72.65318026014475,medium
NIFTY,Batman,expiry_settlement,2022-01-21,2022-01-27,development,-3554.9999999998918,20.13031740797394,medium
NIFTY,Batman,15:00,2022-01-21,2022-01-27,development,10200.0,20.13031740797394,medium
NIFTY,Batman,15:10,2022-01-21,2022-01-27,development,9521.25,20.13031740797394,medium
NIFTY,Adaptive,expiry_settlement,2022-01-21,2022-01-27,development,-7413.749999999891,58.636090964085945,medium
NIFTY,Adaptive,15:00,2022-01-21,2022-01-27,development,59962.5,58.636090964085945,medium
NIFTY,Adaptive,15:10,2022-01-21,2022-01-27,development,58031.25,58.636090964085945,medium
NIFTY,Batman,expiry_settlement,2022-01-31,2022-02-03,development,16147.500000000056,106.60363947880063,medium
NIFTY,Batman,15:00,2022-01-31,2022-02-03,development,5647.500000000002,106.60363947880063,medium
NIFTY,Batman,15:10,2022-01-31,2022-02-03,development,4811.250000000003,106.60363947880063,medium
NIFTY,Adaptive,expiry_settlement,2022-01-31,2022-02-03,development,15442.499999999947,171.57281160910333,medium
NIFTY,Adaptive,15:00,2022-01-31,2022-02-03,development,57243.75,171.57281160910333,medium
NIFTY,Adaptive,15:10,2022-01-31,2022-02-03,development,56006.25,171.57281160910333,medium
NIFTY,Adaptive,expiry_settlement,2022-02-07,2022-02-10,development,-18791.250000000113,6.590729617963595,medium
NIFTY,Adaptive,15:00,2022-02-07,2022-02-10,development,-43286.25000000001,6.590729617963595,medium
NIFTY,Adaptive,15:10,2022-02-07,2022-02-10,development,-44058.75,6.590729617963595,medium
NIFTY,Batman,expiry_settlement,2022-02-14,2022-02-17,development,14812.50000000011,46.35602780891864,high
NIFTY,Batman,15:00,2022-02-14,2022-02-17,development,-5175.0,46.35602780891864,high
NIFTY,Batman,15:10,2022-02-14,2022-02-17,development,-5786.249999999999,46.35602780891864,high
NIFTY,Adaptive,expiry_settlement,2022-02-14,2022-02-17,development,15345.0,75.52304738875782,high
NIFTY,Adaptive,15:00,2022-02-14,2022-02-17,development,15209.999999999998,75.52304738875782,high
NIFTY,Adaptive,15:10,2022-02-14,2022-02-17,development,15198.75,75.52304738875782,high
NIFTY,Batman,expiry_settlement,2022-02-21,2022-02-24,development,-33967.49999999995,19.371447452948946,high
NIFTY,Batman,15:00,2022-02-21,2022-02-24,development,33997.5,19.371447452948946,high
NIFTY,Batman,15:10,2022-02-21,2022-02-24,development,38625.00000000001,19.371447452948946,high
NIFTY,Adaptive,expiry_settlement,2022-02-21,2022-02-24,development,-51348.74999999995,40.29482611742156,high
NIFTY,Adaptive,15:00,2022-02-21,2022-02-24,development,70020.0,40.29482611742156,high
NIFTY,Adaptive,15:10,2022-02-21,2022-02-24,development,74066.25,40.29482611742156,high
NIFTY,Batman,expiry_settlement,2022-02-25,2022-03-03,development,14602.500000000055,147.31613399940565,high
NIFTY,Batman,15:00,2022-02-25,2022-03-03,development,11913.75,147.31613399940565,high
NIFTY,Batman,15:10,2022-02-25,2022-03-03,development,10627.5,147.31613399940565,high
NIFTY,Adaptive,expiry_settlement,2022-02-25,2022-03-03,development,14602.500000000055,147.31613399940565,high
NIFTY,Adaptive,15:00,2022-02-25,2022-03-03,development,11913.75,147.31613399940565,high
NIFTY,Adaptive,15:10,2022-02-25,2022-03-03,development,10627.5,147.31613399940565,high
NIFTY,Batman,expiry_settlement,2022-03-07,2022-03-10,development,-18311.25000000011,113.07437038004133,high
NIFTY,Batman,15:00,2022-03-07,2022-03-10,development,36963.75,113.07437038004133,high
NIFTY,Batman,15:10,2022-03-07,2022-03-10,development,40800.0,113.07437038004133,high
NIFTY,Adaptive,expiry_settlement,2022-03-07,2022-03-10,development,-18311.25000000011,113.07437038004133,high
NIFTY,Adaptive,15:00,2022-03-07,2022-03-10,development,36963.75,113.07437038004133,high
NIFTY,Adaptive,15:10,2022-03-07,2022-03-10,development,40800.0,113.07437038004133,high
NIFTY,Batman,expiry_settlement,2022-03-14,2022-03-17,development,-6539.999999999945,76.74979186265129,high
NIFTY,Batman,15:00,2022-03-14,2022-03-17,development,22950.0,76.74979186265129,high
NIFTY,Batman,15:10,2022-03-14,2022-03-17,development,20100.0,76.74979186265129,high
NIFTY,Adaptive,expiry_settlement,2022-03-14,2022-03-17,development,15596.25,86.9268472108056,high
NIFTY,Adaptive,15:00,2022-03-14,2022-03-17,development,15465.0,86.9268472108056,high
NIFTY,Adaptive,15:10,2022-03-14,2022-03-17,development,15457.5,86.9268472108056,high
NIFTY,Batman,expiry_settlement,2022-03-21,2022-03-24,development,5520.0,20.34974495743608,high
NIFTY,Batman,15:00,2022-03-21,2022-03-24,development,603.7499999999998,20.34974495743608,high
NIFTY,Batman,15:10,2022-03-21,2022-03-24,development,975.0,20.34974495743608,high
NIFTY,Adaptive,expiry_settlement,2022-03-21,2022-03-24,development,4312.5,47.28776741042501,high
NIFTY,Adaptive,15:00,2022-03-21,2022-03-24,development,22755.0,47.28776741042501,high
NIFTY,Adaptive,15:10,2022-03-21,2022-03-24,development,22785.0,47.28776741042501,high
NIFTY,Adaptive,expiry_settlement,2022-03-28,2022-03-31,development,11703.75,21.176633958575984,high
NIFTY,Adaptive,15:00,2022-03-28,2022-03-31,development,11561.25,21.176633958575984,high
NIFTY,Adaptive,15:10,2022-03-28,2022-03-31,development,11561.25,21.176633958575984,high
NIFTY,Adaptive,expiry_settlement,2022-04-04,2022-04-07,development,-19425.000000000055,27.313808476253914,high
NIFTY,Adaptive,15:00,2022-04-04,2022-04-07,development,18120.0,27.313808476253914,high
NIFTY,Adaptive,15:10,2022-04-04,2022-04-07,development,19151.249999999996,27.313808476253914,high
NIFTY,Adaptive,expiry_settlement,2022-04-08,2022-04-13,development,1552.50000000011,2.7131453943866255,medium
NIFTY,Adaptive,15:00,2022-04-08,2022-04-13,development,11216.25,2.7131453943866255,medium
NIFTY,Adaptive,15:10,2022-04-08,2022-04-13,development,12003.75,2.7131453943866255,medium
NIFTY,Adaptive,expiry_settlement,2022-04-18,2022-04-21,development,-20782.500000000113,22.407178164889483,medium
NIFTY,Adaptive,15:00,2022-04-18,2022-04-21,development,-43121.25,22.407178164889483,medium
NIFTY,Adaptive,15:10,2022-04-18,2022-04-21,development,-41808.75,22.407178164889483,medium
NIFTY,Adaptive,expiry_settlement,2022-04-25,2022-04-28,development,4710.000000000001,3.189865574069561,medium
NIFTY,Adaptive,15:00,2022-04-25,2022-04-28,development,4278.750000000001,3.189865574069561,medium
NIFTY,Adaptive,15:10,2022-04-25,2022-04-28,development,4263.750000000001,3.189865574069561,medium
NIFTY,Adaptive,expiry_settlement,2022-04-29,2022-05-05,development,-39944.99999999989,11.870665414006206,high
NIFTY,Adaptive,15:00,2022-04-29,2022-05-05,development,41493.75,11.870665414006206,high
NIFTY,Adaptive,15:10,2022-04-29,2022-05-05,development,45138.75,11.870665414006206,high
NIFTY,Batman,expiry_settlement,2022-05-09,2022-05-12,development,3097.4999999999986,8.012977701025752,high
NIFTY,Batman,15:00,2022-05-09,2022-05-12,development,-37.500000000001336,8.012977701025752,high
NIFTY,Batman,15:10,2022-05-09,2022-05-12,development,2422.4999999999973,8.012977701025752,high
NIFTY,Adaptive,expiry_settlement,2022-05-09,2022-05-12,development,-13650.0,31.68214059835351,high
NIFTY,Adaptive,15:00,2022-05-09,2022-05-12,development,36727.5,31.68214059835351,high
NIFTY,Adaptive,15:10,2022-05-09,2022-05-12,development,38891.25,31.68214059835351,high
NIFTY,Batman,expiry_settlement,2022-05-16,2022-05-19,development,3907.4999999999986,14.132119549435375,high
NIFTY,Batman,15:00,2022-05-16,2022-05-19,development,1826.2499999999984,14.132119549435375,high
NIFTY,Batman,15:10,2022-05-16,2022-05-19,development,2504.999999999998,14.132119549435375,high
NIFTY,Adaptive,expiry_settlement,2022-05-16,2022-05-19,development,5804.999999999973,33.281678459571154,high
NIFTY,Adaptive,15:00,2022-05-16,2022-05-19,development,19980.0,33.281678459571154,high
NIFTY,Adaptive,15:10,2022-05-16,2022-05-19,development,19998.75,33.281678459571154,high
NIFTY,Batman,expiry_settlement,2022-05-23,2022-05-26,development,5925.000000000026,25.116019130483323,high
NIFTY,Batman,15:00,2022-05-23,2022-05-26,development,592.4999999999993,25.116019130483323,high
NIFTY,Batman,15:10,2022-05-23,2022-05-26,development,-1263.7500000000007,25.116019130483323,high
NIFTY,Adaptive,expiry_settlement,2022-05-23,2022-05-26,development,7218.749999999973,57.02502014562751,high
NIFTY,Adaptive,15:00,2022-05-23,2022-05-26,development,18765.0,57.02502014562751,high
NIFTY,Adaptive,15:10,2022-05-23,2022-05-26,development,20797.5,57.02502014562751,high
NIFTY,Adaptive,expiry_settlement,2022-05-30,2022-06-02,development,3330.0000000000005,39.8643905919047,high
NIFTY,Adaptive,15:00,2022-05-30,2022-06-02,development,-1627.4999999999998,39.8643905919047,high
NIFTY,Adaptive,15:10,2022-05-30,2022-06-02,development,-176.24999999999957,39.8643905919047,high
NIFTY,Adaptive,expiry_settlement,2022-06-06,2022-06-09,development,-285.00000000010743,16.081416211571977,high
NIFTY,Adaptive,15:00,2022-06-06,2022-06-09,development,-2703.749999999998,16.081416211571977,high
NIFTY,Adaptive,15:10,2022-06-06,2022-06-09,development,-4436.249999999998,16.081416211571977,high
NIFTY,Adaptive,expiry_settlement,2022-06-13,2022-06-16,development,-21382.49999999997,24.03803650685693,high
NIFTY,Adaptive,15:00,2022-06-13,2022-06-16,development,42990.0,24.03803650685693,high
NIFTY,Adaptive,15:10,2022-06-13,2022-06-16,development,43567.50000000001,24.03803650685693,high
NIFTY,Batman,expiry_settlement,2022-06-20,2022-06-23,development,13113.750000000027,16.650818385549734,medium
NIFTY,Batman,15:00,2022-06-20,2022-06-23,development,-6705.000000000002,16.650818385549734,medium
NIFTY,Batman,15:10,2022-06-20,2022-06-23,development,-8748.75,16.650818385549734,medium
NIFTY,Adaptive,expiry_settlement,2022-06-20,2022-06-23,development,2257.5000000000273,66.60885858151119,medium
NIFTY,Adaptive,15:00,2022-06-20,2022-06-23,development,49890.0,66.60885858151119,medium
NIFTY,Adaptive,15:10,2022-06-20,2022-06-23,development,47490.0,66.60885858151119,medium
NIFTY,Adaptive,expiry_settlement,2022-06-27,2022-06-30,development,-10080.0,14.12485642505223,high
NIFTY,Adaptive,15:00,2022-06-27,2022-06-30,development,6011.249999999999,14.12485642505223,high
NIFTY,Adaptive,15:10,2022-06-27,2022-06-30,development,6956.25,14.12485642505223,high
NIFTY,Adaptive,expiry_settlement,2022-07-04,2022-07-07,development,4214.999999999999,5.004209053097631,medium
NIFTY,Adaptive,15:00,2022-07-04,2022-07-07,development,3768.749999999999,5.004209053097631,medium
NIFTY,Adaptive,15:10,2022-07-04,2022-07-07,development,3772.499999999999,5.004209053097631,medium
NIFTY,Adaptive,expiry_settlement,2022-07-11,2022-07-14,development,3086.250000000058,35.242116751431915,medium
NIFTY,Adaptive,15:00,2022-07-11,2022-07-14,development,-67027.5,35.242116751431915,medium
NIFTY,Adaptive,15:10,2022-07-11,2022-07-14,development,-61844.99999999999,35.242116751431915,medium
NIFTY,Adaptive,expiry_settlement,2022-07-18,2022-07-21,development,24866.25,44.116674564352955,low
NIFTY,Adaptive,15:00,2022-07-18,2022-07-21,development,-40398.75,44.116674564352955,low
NIFTY,Adaptive,15:10,2022-07-18,2022-07-21,development,-43053.75000000001,44.116674564352955,low
