"Date","Price","Open","High","Low","Vol.","Change %"
"09/10/2025","24,973.10","24,991.00","25,035.70","24,915.05","244.15M","0.42%"
"09/09/2025","24,868.60","24,864.10","24,891.80","24,814.00","226.92M","0.39%"
"09/08/2025","24,773.15","24,802.60","24,885.50","24,751.55","213.23M","0.13%"
"09/05/2025","24,741.00","24,818.85","24,832.35","24,621.60","210.07M","0.03%"
"09/04/2025","24,734.30","24,980.75","24,980.75","24,708.20","314.09M","0.08%"
"09/03/2025","24,715.05","24,616.50","24,737.05","24,533.20","340.28M","0.55%"
"09/02/2025","24,579.60","24,653.00","24,756.10","24,522.35","271.56M","-0.18%"
"09/01/2025","24,625.05","24,432.70","24,635.60","24,432.70","229.33M","0.81%"
"08/29/2025","24,426.85","24,466.70","24,572.45","24,404.70","325.52M","-0.30%"
"08/28/2025","24,500.90","24,695.80","24,702.65","24,481.60","326.60M","-0.85%"
"08/26/2025","24,712.05","24,899.50","24,919.65","24,689.60","750.47M","-1.02%"
"08/25/2025","24,967.75","24,949.15","25,021.55","24,894.35","213.03M","0.39%"
"08/22/2025","24,870.10","25,064.15","25,084.85","24,859.15","210.17M","-0.85%"
"08/21/2025","25,083.75","25,142.00","25,153.65","25,054.90","226.54M","0.13%"
"08/20/2025","25,050.55","24,965.80","25,088.70","24,929.70","287.05M","0.28%"
"08/19/2025","24,980.65","24,891.35","25,012.65","24,873.95","252.34M","0.42%"
"08/18/2025","24,876.95","24,938.20","25,022.00","24,852.85","363.07M","1.00%"
"08/14/2025","24,631.30","24,607.25","24,673.65","24,596.90","270.16M","0.05%"
"08/13/2025","24,619.35","24,586.20","24,664.55","24,535.25","236.01M","0.54%"
"08/12/2025","24,487.40","24,563.35","24,702.60","24,465.65","237.00M","-0.40%"
"08/11/2025","24,585.05","24,371.50","24,600.85","24,347.45","241.15M","0.91%"
"08/08/2025","24,363.30","24,544.25","24,585.50","24,337.50","312.63M","-0.95%"
"08/07/2025","24,596.15","24,464.20","24,634.20","24,344.15","616.74M","0.09%"
"08/06/2025","24,574.20","24,641.35","24,671.40","24,539.20","225.09M","-0.31%"
"08/05/2025","24,649.55","24,720.25","24,733.10","24,590.30","251.85M","-0.30%"
"08/04/2025","24,722.75","24,596.05","24,736.25","24,554.00","259.33M","0.64%"
"08/01/2025","24,565.35","24,734.90","24,784.15","24,535.05","263.36M","-0.82%"
"07/31/2025","24,768.35","24,642.25","24,956.50","24,635.00","346.30M","-0.35%"
"07/30/2025","24,855.05","24,890.40","24,902.30","24,771.95","243.89M","0.14%"
"07/29/2025","24,821.10","24,609.65","24,847.15","24,598.60","284.66M","0.57%"
"07/28/2025","24,680.90","24,782.45","24,889.20","24,646.60","262.14M","-0.63%"
"07/25/2025","24,837.00","25,010.35","25,010.35","24,806.35","278.14M","-0.90%"
"07/24/2025","25,062.10","25,243.30","25,246.25","25,018.70","338.73M","-0.63%"
"07/23/2025","25,219.90","25,139.35","25,233.50","25,085.50","271.54M","0.63%"
